"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.masterEnb1.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.secondaryGnb1.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.masterEnb2.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.secondaryGnb2.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",
16.807,0,16.807,0,16.807,0,16.807,0
16.808,0,16.808,0,16.808,0,16.808,0
16.809,0,16.809,0,16.809,0,16.809,0
16.81,0,16.81,0,16.81,0,16.81,0
16.811,1,16.811,0,16.811,0,16.811,0
16.812,0,16.812,1,16.812,1,16.812,1
16.813,1,16.813,1,16.813,2,16.813,0
16.814,0,16.814,2,16.814,3,16.814,0
16.815,2,16.815,0,16.815,0,16.815,1
16.816,0,16.816,1,16.816,2,16.816,0
16.817,0,16.817,0,16.817,1,16.817,0
16.818,0,16.818,0,16.818,2,16.818,1
16.819,2,16.819,1,16.819,2,16.819,1
16.82,2,16.82,1,16.82,3,16.82,0
16.821,0,16.821,0,16.821,0,16.821,0
16.822,0,16.822,1,16.822,2,16.822,0
16.823,0,16.823,0,16.823,0,16.823,0
16.824,0,16.824,0,16.824,0,16.824,0
16.825,0,16.825,0,16.825,0,16.825,1
16.826,0,16.826,0,16.826,1,16.826,0
16.827,0,16.827,0,16.827,0,16.827,0
16.828,0,16.828,1,16.828,2,16.828,0
16.829,0,16.829,0,16.829,0,16.829,0
16.83,0,16.83,0,16.83,0,16.83,0
16.831,1,16.831,0,16.831,0,16.831,0
16.832,0,16.832,1,16.832,2,16.832,1
16.833,2,16.833,1,16.833,2,16.833,0
16.834,0,16.834,2,16.834,3,16.834,0
16.835,3,16.835,0,16.835,0,16.835,1
16.836,0,16.836,1,16.836,2,16.836,0
16.837,0,16.837,0,16.837,1,16.837,0
16.838,0,16.838,0,16.838,2,16.838,0
16.839,1,16.839,0,16.839,2,16.839,1
16.84,2,16.84,0,16.84,4,16.84,0
16.841,0,16.841,0,16.841,0,16.841,0
16.842,0,16.842,1,16.842,2,16.842,0
16.843,0,16.843,0,16.843,0,16.843,0
16.844,0,16.844,0,16.844,0,16.844,0
16.845,0,16.845,0,16.845,0,16.845,1
16.846,0,16.846,0,16.846,2,16.846,0
16.847,0,16.847,0,16.847,0,16.847,0
16.848,0,16.848,0,16.848,0,16.848,0
16.849,0,16.849,0,16.849,0,16.849,0
16.85,0,16.85,0,16.85,0,16.85,0
16.851,1,16.851,0,16.851,0,16.851,0
16.852,0,16.852,1,16.852,2,16.852,1
16.853,2,16.853,1,16.853,2,16.853,0
16.854,0,16.854,2,16.854,3,16.854,0
16.855,3,16.855,0,16.855,0,16.855,1
16.856,0,16.856,1,16.856,2,16.856,0
16.857,0,16.857,0,16.857,1,16.857,0
16.858,0,16.858,0,16.858,2,16.858,0
16.859,3,16.859,0,16.859,2,16.859,1
16.86,2,16.86,0,16.86,4,16.86,0
16.861,0,16.861,0,16.861,0,16.861,0
16.862,0,16.862,1,16.862,2,16.862,0
16.863,0,16.863,0,16.863,0,16.863,0
16.864,0,16.864,0,16.864,0,16.864,0
16.865,0,16.865,0,16.865,0,16.865,1
16.866,0,16.866,0,16.866,1,16.866,0
16.867,0,16.867,0,16.867,0,16.867,0
16.868,0,16.868,0,16.868,0,16.868,0
16.869,0,16.869,0,16.869,0,16.869,0
16.87,0,16.87,0,16.87,0,16.87,0
16.871,1,16.871,0,16.871,0,16.871,0
16.872,0,16.872,1,16.872,2,16.872,1
16.873,2,16.873,1,16.873,2,16.873,0
16.874,0,16.874,2,16.874,3,16.874,0
16.875,3,16.875,0,16.875,0,16.875,1
16.876,0,16.876,1,16.876,2,16.876,0
16.877,0,16.877,0,16.877,1,16.877,0
16.878,0,16.878,0,16.878,2,16.878,0
16.879,1,16.879,0,16.879,2,16.879,1
16.88,2,16.88,0,16.88,4,16.88,0
16.881,0,16.881,0,16.881,0,16.881,0
16.882,0,16.882,1,16.882,2,16.882,0
16.883,0,16.883,0,16.883,0,16.883,0
16.884,0,16.884,0,16.884,0,16.884,0
16.885,0,16.885,0,16.885,0,16.885,1
16.886,0,16.886,0,16.886,1,16.886,0
16.887,0,16.887,0,16.887,0,16.887,0
16.888,0,16.888,0,16.888,0,16.888,0
16.889,0,16.889,0,16.889,0,16.889,0
16.89,0,16.89,0,16.89,0,16.89,0
16.891,1,16.891,0,16.891,0,16.891,0
16.892,0,16.892,1,16.892,2,16.892,1
16.893,2,16.893,1,16.893,2,16.893,0
16.894,0,16.894,2,16.894,3,16.894,0
16.895,3,16.895,0,16.895,0,16.895,1
16.896,0,16.896,1,16.896,2,16.896,0
16.897,0,16.897,0,16.897,1,16.897,0
16.898,0,16.898,0,16.898,2,16.898,0
16.899,1,16.899,0,16.899,2,16.899,1
16.9,2,16.9,0,16.9,4,16.9,0
16.901,0,16.901,0,16.901,0,16.901,0
16.902,0,16.902,1,16.902,2,16.902,0
16.903,0,16.903,0,16.903,0,16.903,0
16.904,0,16.904,0,16.904,0,16.904,0
16.905,0,16.905,0,16.905,0,16.905,1
16.906,0,16.906,0,16.906,1,16.906,0
16.907,0,16.907,0,16.907,0,16.907,0
16.908,0,16.908,0,16.908,0,16.908,0
16.909,0,16.909,0,16.909,0,16.909,0
16.91,0,16.91,0,16.91,0,16.91,0
16.911,1,16.911,0,16.911,0,16.911,0
16.912,0,16.912,1,16.912,1,16.912,1
16.913,1,16.913,1,16.913,2,16.913,0
16.914,0,16.914,2,16.914,3,16.914,0
16.915,3,16.915,0,16.915,0,16.915,1
16.916,0,16.916,1,16.916,2,16.916,0
16.917,0,16.917,0,16.917,1,16.917,0
16.918,0,16.918,0,16.918,0,16.918,0
16.919,2,16.919,1,16.919,0,16.919,1
16.92,2,16.92,0,16.92,4,16.92,0
16.921,0,16.921,0,16.921,0,16.921,0
16.922,0,16.922,0,16.922,0,16.922,0
16.923,0,16.923,0,16.923,0,16.923,0
16.924,0,16.924,0,16.924,0,16.924,0
16.925,0,16.925,0,16.925,0,16.925,1
16.926,0,16.926,0,16.926,2,16.926,0
16.927,0,16.927,0,16.927,0,16.927,0
16.928,0,16.928,0,16.928,0,16.928,0
16.929,0,16.929,0,16.929,0,16.929,0
16.93,0,16.93,0,16.93,0,16.93,0
16.931,1,16.931,0,16.931,0,16.931,0
16.932,0,16.932,1,16.932,1,16.932,1
16.933,1,16.933,1,16.933,2,16.933,0
16.934,0,16.934,2,16.934,3,16.934,0
16.935,2,16.935,0,16.935,0,16.935,1
16.936,0,16.936,1,16.936,2,16.936,0
16.937,0,16.937,0,16.937,1,16.937,0
16.938,0,16.938,0,16.938,2,16.938,1
16.939,2,16.939,1,16.939,2,16.939,1
16.94,2,16.94,1,16.94,3,16.94,0
16.941,0,16.941,0,16.941,0,16.941,0
16.942,0,16.942,1,16.942,2,16.942,0
16.943,0,16.943,0,16.943,0,16.943,0
16.944,0,16.944,0,16.944,0,16.944,0
16.945,0,16.945,0,16.945,0,16.945,1
16.946,0,16.946,0,16.946,1,16.946,0
16.947,0,16.947,0,16.947,0,16.947,0
16.948,0,16.948,0,16.948,2,16.948,0
16.949,0,16.949,0,16.949,0,16.949,0
16.95,0,16.95,0,16.95,0,16.95,0
16.951,1,16.951,0,16.951,0,16.951,0
16.952,0,16.952,1,16.952,2,16.952,1
16.953,1,16.953,1,16.953,2,16.953,0
16.954,0,16.954,2,16.954,3,16.954,0
16.955,3,16.955,0,16.955,0,16.955,1
16.956,0,16.956,1,16.956,2,16.956,0
16.957,0,16.957,0,16.957,1,16.957,0
16.958,0,16.958,0,16.958,2,16.958,0
16.959,2,16.959,1,16.959,0,16.959,1
16.96,2,16.96,0,16.96,4,16.96,0
16.961,0,16.961,0,16.961,0,16.961,0
16.962,0,16.962,1,16.962,2,16.962,0
16.963,0,16.963,0,16.963,0,16.963,0
16.964,0,16.964,0,16.964,0,16.964,0
16.965,0,16.965,0,16.965,0,16.965,1
16.966,0,16.966,0,16.966,1,16.966,0
16.967,0,16.967,0,16.967,0,16.967,0
16.968,0,16.968,1,16.968,0,16.968,0
16.969,0,16.969,0,16.969,0,16.969,0
16.97,0,16.97,0,16.97,0,16.97,0
16.971,1,16.971,0,16.971,0,16.971,0
16.972,0,16.972,1,16.972,2,16.972,1
16.973,1,16.973,1,16.973,2,16.973,0
16.974,0,16.974,2,16.974,3,16.974,0
16.975,3,16.975,0,16.975,0,16.975,1
16.976,0,16.976,1,16.976,2,16.976,0
16.977,0,16.977,0,16.977,1,16.977,0
16.978,0,16.978,0,16.978,2,16.978,0
16.979,2,16.979,1,16.979,0,16.979,1
16.98,2,16.98,0,16.98,4,16.98,0
16.981,0,16.981,0,16.981,0,16.981,0
16.982,0,16.982,1,16.982,2,16.982,0
16.983,0,16.983,0,16.983,0,16.983,0
16.984,0,16.984,0,16.984,0,16.984,0
16.985,0,16.985,1,16.985,0,16.985,1
16.986,0,16.986,0,16.986,0,16.986,0
16.987,0,16.987,0,16.987,0,16.987,0
16.988,0,16.988,0,16.988,0,16.988,0
16.989,0,16.989,0,16.989,0,16.989,0
16.99,0,16.99,0,16.99,0,16.99,0
16.991,1,16.991,0,16.991,0,16.991,0
16.992,0,16.992,1,16.992,2,16.992,1
16.993,1,16.993,1,16.993,2,16.993,0
16.994,0,16.994,2,16.994,3,16.994,0
16.995,3,16.995,0,16.995,0,16.995,1
16.996,0,16.996,1,16.996,2,16.996,0
16.997,0,16.997,0,16.997,1,16.997,0
16.998,0,16.998,0,16.998,2,16.998,0
16.999,2,16.999,1,16.999,0,16.999,1
17,2,17,0,17,4,17,0
17.001,0,17.001,0,17.001,0,17.001,0
17.002,0,17.002,1,17.002,2,17.002,0
17.003,0,17.003,0,17.003,0,17.003,0
17.004,0,17.004,0,17.004,0,17.004,0
17.005,2,17.005,0,17.005,0,17.005,1
17.006,0,17.006,0,17.006,0,17.006,0
17.007,0,17.007,0,17.007,0,17.007,0
17.008,0,17.008,1,17.008,0,17.008,0
17.009,0,17.009,0,17.009,0,17.009,0
17.01,0,17.01,0,17.01,0,17.01,0
17.011,1,17.011,0,17.011,0,17.011,0
17.012,0,17.012,1,17.012,1,17.012,1
17.013,1,17.013,1,17.013,2,17.013,0
17.014,0,17.014,2,17.014,3,17.014,0
17.015,3,17.015,0,17.015,0,17.015,1
17.016,0,17.016,1,17.016,2,17.016,0
17.017,0,17.017,0,17.017,1,17.017,0
17.018,0,17.018,0,17.018,0,17.018,0
17.019,2,17.019,1,17.019,0,17.019,1
17.02,2,17.02,0,17.02,4,17.02,0
17.021,0,17.021,0,17.021,0,17.021,0
17.022,0,17.022,0,17.022,0,17.022,0
17.023,0,17.023,0,17.023,0,17.023,0
17.024,0,17.024,0,17.024,0,17.024,0
17.025,1,17.025,0,17.025,0,17.025,1
17.026,0,17.026,0,17.026,0,17.026,0
17.027,0,17.027,0,17.027,0,17.027,0
17.028,0,17.028,0,17.028,0,17.028,0
17.029,0,17.029,0,17.029,0,17.029,0
17.03,0,17.03,0,17.03,0,17.03,0
17.031,1,17.031,0,17.031,0,17.031,0
17.032,0,17.032,1,17.032,1,17.032,1
17.033,1,17.033,1,17.033,0,17.033,1
17.034,0,17.034,2,17.034,3,17.034,0
17.035,2,17.035,0,17.035,0,17.035,1
17.036,0,17.036,1,17.036,2,17.036,0
17.037,0,17.037,0,17.037,1,17.037,0
17.038,0,17.038,1,17.038,2,17.038,1
17.039,1,17.039,0,17.039,0,17.039,2
17.04,2,17.04,1,17.04,3,17.04,0
17.041,0,17.041,0,17.041,0,17.041,0
17.042,0,17.042,1,17.042,2,17.042,0
17.043,0,17.043,0,17.043,0,17.043,0
17.044,0,17.044,0,17.044,0,17.044,0
17.045,0,17.045,0,17.045,0,17.045,0
17.046,0,17.046,0,17.046,1,17.046,0
17.047,0,17.047,0,17.047,0,17.047,0
17.048,0,17.048,0,17.048,1,17.048,0
17.049,0,17.049,0,17.049,0,17.049,0
17.05,0,17.05,0,17.05,0,17.05,0
17.051,1,17.051,0,17.051,0,17.051,0
17.052,0,17.052,1,17.052,1,17.052,1
17.053,1,17.053,1,17.053,0,17.053,1
17.054,0,17.054,2,17.054,3,17.054,0
17.055,3,17.055,0,17.055,0,17.055,1
17.056,0,17.056,1,17.056,2,17.056,0
17.057,0,17.057,0,17.057,1,17.057,0
17.058,0,17.058,0,17.058,0,17.058,0
17.059,2,17.059,1,17.059,0,17.059,2
17.06,2,17.06,1,17.06,4,17.06,0
17.061,0,17.061,0,17.061,0,17.061,0
17.062,0,17.062,0,17.062,0,17.062,0
17.063,0,17.063,0,17.063,0,17.063,0
17.064,0,17.064,0,17.064,0,17.064,0
17.065,0,17.065,0,17.065,0,17.065,1
17.066,1,17.066,0,17.066,0,17.066,0
17.067,0,17.067,0,17.067,0,17.067,0
17.068,0,17.068,0,17.068,0,17.068,0
17.069,0,17.069,0,17.069,0,17.069,0
17.07,0,17.07,0,17.07,0,17.07,0
17.071,1,17.071,0,17.071,0,17.071,0
17.072,0,17.072,1,17.072,1,17.072,1
17.073,1,17.073,1,17.073,0,17.073,1
17.074,0,17.074,2,17.074,3,17.074,0
17.075,2,17.075,0,17.075,0,17.075,1
17.076,0,17.076,1,17.076,2,17.076,0
17.077,0,17.077,0,17.077,1,17.077,0
17.078,0,17.078,1,17.078,2,17.078,1
17.079,1,17.079,0,17.079,0,17.079,2
17.08,2,17.08,1,17.08,3,17.08,0
17.081,0,17.081,0,17.081,0,17.081,0
17.082,0,17.082,1,17.082,2,17.082,0
17.083,0,17.083,0,17.083,0,17.083,0
17.084,0,17.084,0,17.084,0,17.084,0
17.085,0,17.085,0,17.085,0,17.085,1
17.086,0,17.086,0,17.086,1,17.086,0
17.087,0,17.087,0,17.087,0,17.087,0
17.088,0,17.088,1,17.088,0,17.088,0
17.089,0,17.089,0,17.089,0,17.089,0
17.09,0,17.09,0,17.09,0,17.09,0
17.091,1,17.091,0,17.091,0,17.091,0
17.092,0,17.092,1,17.092,2,17.092,1
17.093,1,17.093,1,17.093,0,17.093,1
17.094,0,17.094,2,17.094,3,17.094,0
17.095,3,17.095,0,17.095,0,17.095,1
17.096,0,17.096,1,17.096,2,17.096,0
17.097,0,17.097,0,17.097,1,17.097,0
17.098,0,17.098,0,17.098,2,17.098,0
17.099,2,17.099,1,17.099,0,17.099,2
17.1,2,17.1,0,17.1,4,17.1,0
17.101,0,17.101,0,17.101,0,17.101,0
17.102,0,17.102,1,17.102,2,17.102,0
17.103,0,17.103,0,17.103,0,17.103,0
17.104,0,17.104,0,17.104,0,17.104,0
17.105,2,17.105,0,17.105,0,17.105,0
17.106,0,17.106,0,17.106,0,17.106,0
17.107,0,17.107,0,17.107,0,17.107,0
17.108,0,17.108,1,17.108,1,17.108,0
17.109,0,17.109,0,17.109,0,17.109,0
17.11,0,17.11,0,17.11,0,17.11,0
17.111,1,17.111,0,17.111,0,17.111,0
17.112,0,17.112,1,17.112,1,17.112,1
17.113,1,17.113,1,17.113,0,17.113,1
17.114,0,17.114,2,17.114,3,17.114,0
17.115,3,17.115,0,17.115,0,17.115,1
17.116,0,17.116,1,17.116,2,17.116,0
17.117,0,17.117,0,17.117,1,17.117,0
17.118,0,17.118,0,17.118,0,17.118,0
17.119,2,17.119,1,17.119,0,17.119,2
17.12,2,17.12,1,17.12,4,17.12,0
17.121,0,17.121,0,17.121,0,17.121,0
17.122,0,17.122,0,17.122,0,17.122,0
17.123,0,17.123,0,17.123,0,17.123,0
17.124,0,17.124,0,17.124,0,17.124,0
17.125,0,17.125,0,17.125,0,17.125,0
17.126,1,17.126,1,17.126,0,17.126,0
17.127,0,17.127,0,17.127,0,17.127,0
17.128,0,17.128,0,17.128,0,17.128,0
17.129,0,17.129,0,17.129,0,17.129,0
17.13,0,17.13,0,17.13,0,17.13,0
17.131,1,17.131,0,17.131,0,17.131,0
17.132,1,17.132,1,17.132,1,17.132,1
17.133,1,17.133,1,17.133,0,17.133,1
17.134,0,17.134,2,17.134,3,17.134,0
17.135,2,17.135,0,17.135,0,17.135,1
17.136,0,17.136,1,17.136,2,17.136,0
17.137,0,17.137,0,17.137,1,17.137,0
17.138,0,17.138,1,17.138,2,17.138,1
17.139,2,17.139,1,17.139,0,17.139,1
17.14,2,17.14,1,17.14,3,17.14,0
17.141,0,17.141,0,17.141,0,17.141,0
17.142,0,17.142,1,17.142,2,17.142,0
17.143,0,17.143,0,17.143,0,17.143,0
17.144,0,17.144,0,17.144,0,17.144,0
17.145,0,17.145,0,17.145,0,17.145,1
17.146,0,17.146,0,17.146,2,17.146,0
17.147,0,17.147,0,17.147,0,17.147,0
17.148,0,17.148,0,17.148,0,17.148,0
17.149,0,17.149,0,17.149,0,17.149,0
17.15,0,17.15,0,17.15,0,17.15,0
17.151,1,17.151,0,17.151,0,17.151,0
17.152,0,17.152,1,17.152,2,17.152,1
17.153,1,17.153,1,17.153,0,17.153,1
17.154,0,17.154,2,17.154,3,17.154,0
17.155,3,17.155,0,17.155,0,17.155,1
17.156,0,17.156,1,17.156,2,17.156,0
17.157,0,17.157,0,17.157,1,17.157,0
17.158,0,17.158,0,17.158,2,17.158,0
17.159,2,17.159,1,17.159,0,17.159,2
17.16,2,17.16,0,17.16,4,17.16,0
17.161,0,17.161,0,17.161,0,17.161,0
17.162,0,17.162,1,17.162,2,17.162,0
17.163,0,17.163,0,17.163,0,17.163,0
17.164,0,17.164,0,17.164,0,17.164,0
17.165,0,17.165,1,17.165,0,17.165,0
17.166,1,17.166,0,17.166,2,17.166,0
17.167,0,17.167,0,17.167,0,17.167,0
17.168,0,17.168,1,17.168,2,17.168,0
17.169,0,17.169,0,17.169,0,17.169,0
17.17,0,17.17,0,17.17,0,17.17,0
17.171,1,17.171,0,17.171,0,17.171,0
17.172,0,17.172,1,17.172,2,17.172,1
17.173,1,17.173,1,17.173,0,17.173,1
17.174,0,17.174,2,17.174,3,17.174,0
17.175,3,17.175,0,17.175,0,17.175,1
17.176,0,17.176,1,17.176,2,17.176,0
17.177,0,17.177,0,17.177,1,17.177,0
17.178,0,17.178,0,17.178,2,17.178,0
17.179,2,17.179,1,17.179,0,17.179,2
17.18,2,17.18,0,17.18,4,17.18,0
17.181,0,17.181,0,17.181,0,17.181,0
17.182,0,17.182,1,17.182,2,17.182,0
17.183,0,17.183,0,17.183,0,17.183,0
17.184,0,17.184,0,17.184,0,17.184,0
17.185,1,17.185,1,17.185,0,17.185,1
17.186,0,17.186,0,17.186,0,17.186,0
17.187,0,17.187,0,17.187,0,17.187,0
17.188,0,17.188,0,17.188,2,17.188,0
17.189,0,17.189,0,17.189,0,17.189,0
17.19,0,17.19,0,17.19,0,17.19,0
17.191,1,17.191,0,17.191,0,17.191,0
17.192,0,17.192,1,17.192,2,17.192,1
17.193,1,17.193,1,17.193,0,17.193,1
17.194,0,17.194,2,17.194,3,17.194,0
17.195,3,17.195,0,17.195,0,17.195,1
17.196,0,17.196,1,17.196,2,17.196,0
17.197,0,17.197,0,17.197,1,17.197,0
17.198,0,17.198,1,17.198,2,17.198,0
17.199,2,17.199,1,17.199,0,17.199,2
17.2,2,17.2,0,17.2,4,17.2,0
17.201,0,17.201,0,17.201,0,17.201,0
17.202,0,17.202,1,17.202,2,17.202,0
17.203,0,17.203,0,17.203,0,17.203,0
17.204,0,17.204,0,17.204,0,17.204,0
17.205,0,17.205,0,17.205,0,17.205,0
17.206,0,17.206,0,17.206,0,17.206,0
17.207,0,17.207,0,17.207,0,17.207,0
17.208,0,17.208,0,17.208,0,17.208,0
17.209,0,17.209,0,17.209,0,17.209,0
17.21,0,17.21,0,17.21,0,17.21,0
17.211,1,17.211,0,17.211,0,17.211,0
17.212,0,17.212,1,17.212,1,17.212,1
17.213,1,17.213,1,17.213,0,17.213,1
17.214,0,17.214,2,17.214,3,17.214,0
17.215,3,17.215,0,17.215,0,17.215,1
17.216,0,17.216,1,17.216,2,17.216,0
17.217,0,17.217,0,17.217,1,17.217,0
17.218,0,17.218,0,17.218,0,17.218,0
17.219,2,17.219,1,17.219,0,17.219,2
17.22,2,17.22,0,17.22,4,17.22,0
17.221,0,17.221,0,17.221,0,17.221,0
17.222,0,17.222,0,17.222,0,17.222,0
17.223,0,17.223,0,17.223,0,17.223,0
17.224,0,17.224,0,17.224,0,17.224,0
17.225,0,17.225,0,17.225,0,17.225,0
17.226,0,17.226,0,17.226,0,17.226,0
17.227,0,17.227,0,17.227,0,17.227,0
17.228,0,17.228,0,17.228,0,17.228,0
17.229,0,17.229,0,17.229,0,17.229,0
17.23,0,17.23,0,17.23,0,17.23,0
17.231,1,17.231,0,17.231,0,17.231,0
17.232,0,17.232,1,17.232,1,17.232,1
17.233,1,17.233,1,17.233,0,17.233,1
17.234,0,17.234,2,17.234,3,17.234,0
17.235,2,17.235,0,17.235,0,17.235,1
17.236,0,17.236,1,17.236,2,17.236,0
17.237,0,17.237,0,17.237,1,17.237,0
17.238,0,17.238,1,17.238,2,17.238,1
17.239,1,17.239,0,17.239,0,17.239,2
17.24,2,17.24,0,17.24,3,17.24,0
17.241,0,17.241,0,17.241,0,17.241,0
17.242,0,17.242,1,17.242,2,17.242,0
17.243,0,17.243,0,17.243,0,17.243,0
17.244,0,17.244,0,17.244,0,17.244,1
17.245,0,17.245,0,17.245,0,17.245,0
17.246,0,17.246,0,17.246,1,17.246,0
17.247,0,17.247,0,17.247,0,17.247,0
17.248,0,17.248,1,17.248,1,17.248,0
17.249,0,17.249,0,17.249,0,17.249,0
17.25,0,17.25,0,17.25,0,17.25,0
17.251,1,17.251,0,17.251,0,17.251,0
17.252,0,17.252,1,17.252,1,17.252,1
17.253,1,17.253,1,17.253,0,17.253,1
17.254,0,17.254,2,17.254,3,17.254,0
17.255,3,17.255,0,17.255,0,17.255,1
17.256,0,17.256,1,17.256,2,17.256,0
17.257,0,17.257,0,17.257,1,17.257,0
17.258,0,17.258,0,17.258,0,17.258,0
17.259,2,17.259,1,17.259,0,17.259,2
17.26,2,17.26,0,17.26,4,17.26,0
17.261,0,17.261,0,17.261,0,17.261,0
17.262,0,17.262,0,17.262,0,17.262,0
17.263,0,17.263,0,17.263,0,17.263,0
17.264,0,17.264,0,17.264,0,17.264,0
17.265,0,17.265,0,17.265,0,17.265,1
17.266,0,17.266,0,17.266,1,17.266,0
17.267,0,17.267,0,17.267,0,17.267,0
17.268,0,17.268,0,17.268,0,17.268,0
17.269,0,17.269,0,17.269,0,17.269,0
17.27,0,17.27,0,17.27,0,17.27,0
17.271,1,17.271,0,17.271,0,17.271,0
17.272,0,17.272,1,17.272,1,17.272,1
17.273,1,17.273,1,17.273,0,17.273,1
17.274,0,17.274,2,17.274,3,17.274,0
17.275,2,17.275,0,17.275,0,17.275,1
17.276,0,17.276,1,17.276,2,17.276,0
17.277,0,17.277,0,17.277,1,17.277,0
17.278,0,17.278,1,17.278,2,17.278,1
17.279,1,17.279,0,17.279,0,17.279,2
17.28,2,17.28,1,17.28,3,17.28,0
17.281,0,17.281,0,17.281,0,17.281,0
17.282,0,17.282,1,17.282,2,17.282,0
17.283,0,17.283,0,17.283,0,17.283,0
17.284,0,17.284,0,17.284,0,17.284,0
17.285,0,17.285,0,17.285,0,17.285,0
17.286,0,17.286,0,17.286,1,17.286,0
17.287,0,17.287,0,17.287,0,17.287,0
17.288,0,17.288,0,17.288,0,17.288,0
17.289,0,17.289,0,17.289,0,17.289,0
17.29,0,17.29,0,17.29,0,17.29,0
17.291,1,17.291,0,17.291,0,17.291,0
17.292,0,17.292,1,17.292,1,17.292,1
17.293,1,17.293,1,17.293,0,17.293,1
17.294,0,17.294,2,17.294,3,17.294,0
17.295,3,17.295,0,17.295,0,17.295,1
17.296,0,17.296,1,17.296,2,17.296,0
17.297,0,17.297,0,17.297,1,17.297,0
17.298,0,17.298,0,17.298,0,17.298,0
17.299,2,17.299,1,17.299,0,17.299,2
17.3,2,17.3,0,17.3,4,17.3,0
17.301,0,17.301,0,17.301,0,17.301,0
17.302,0,17.302,0,17.302,0,17.302,0
17.303,0,17.303,0,17.303,0,17.303,0
17.304,0,17.304,0,17.304,0,17.304,0
17.305,0,17.305,1,17.305,0,17.305,0
17.306,0,17.306,0,17.306,0,17.306,0
17.307,0,17.307,0,17.307,0,17.307,0
17.308,0,17.308,0,17.308,0,17.308,0
17.309,0,17.309,0,17.309,0,17.309,0
17.31,0,17.31,0,17.31,0,17.31,0
17.311,1,17.311,0,17.311,0,17.311,0
17.312,0,17.312,1,17.312,1,17.312,1
17.313,1,17.313,1,17.313,0,17.313,1
17.314,0,17.314,2,17.314,2,17.314,0
17.315,2,17.315,0,17.315,0,17.315,1
17.316,0,17.316,1,17.316,2,17.316,0
17.317,0,17.317,0,17.317,2,17.317,0
17.318,0,17.318,1,17.318,2,17.318,1
17.319,2,17.319,1,17.319,0,17.319,1
17.32,2,17.32,0,17.32,2,17.32,0
17.321,0,17.321,0,17.321,0,17.321,0
17.322,0,17.322,1,17.322,2,17.322,0
17.323,0,17.323,0,17.323,0,17.323,0
17.324,0,17.324,0,17.324,2,17.324,0
17.325,0,17.325,0,17.325,0,17.325,1
17.326,0,17.326,0,17.326,1,17.326,0
17.327,0,17.327,0,17.327,0,17.327,0
17.328,0,17.328,0,17.328,0,17.328,0
17.329,0,17.329,0,17.329,0,17.329,0
17.33,0,17.33,0,17.33,0,17.33,0
17.331,1,17.331,0,17.331,0,17.331,0
17.332,0,17.332,1,17.332,2,17.332,1
17.333,1,17.333,1,17.333,0,17.333,1
17.334,0,17.334,2,17.334,3,17.334,0
17.335,2,17.335,0,17.335,0,17.335,1
17.336,0,17.336,1,17.336,2,17.336,0
17.337,0,17.337,0,17.337,2,17.337,0
17.338,0,17.338,0,17.338,2,17.338,0
17.339,2,17.339,1,17.339,0,17.339,2
17.34,2,17.34,1,17.34,4,17.34,0
17.341,0,17.341,0,17.341,0,17.341,0
17.342,0,17.342,1,17.342,2,17.342,0
17.343,0,17.343,0,17.343,0,17.343,0
17.344,0,17.344,0,17.344,0,17.344,0
17.345,0,17.345,0,17.345,0,17.345,0
17.346,2,17.346,0,17.346,0,17.346,0
17.347,0,17.347,0,17.347,0,17.347,0
17.348,0,17.348,1,17.348,0,17.348,0
17.349,0,17.349,0,17.349,0,17.349,0
17.35,0,17.35,0,17.35,0,17.35,0
17.351,1,17.351,0,17.351,0,17.351,0
17.352,0,17.352,1,17.352,2,17.352,1
17.353,1,17.353,1,17.353,0,17.353,1
17.354,0,17.354,2,17.354,3,17.354,0
17.355,2,17.355,0,17.355,0,17.355,1
17.356,0,17.356,1,17.356,2,17.356,0
17.357,0,17.357,0,17.357,2,17.357,0
17.358,0,17.358,0,17.358,2,17.358,0
17.359,2,17.359,1,17.359,0,17.359,2
17.36,2,17.36,0,17.36,4,17.36,0
17.361,0,17.361,0,17.361,0,17.361,0
17.362,0,17.362,1,17.362,2,17.362,0
17.363,0,17.363,0,17.363,0,17.363,0
